business_id,business_name,review_year,platform,review_count,avg_rating,negative_review_count,pct_negative
B010,Tobacco Zone,2016,Yelp,4,5.0,0,0.0
B010,Tobacco Zone,2017,Google,3,5.0,0,0.0
B010,Tobacco Zone,2017,Yelp,1,5.0,0,0.0
B010,Tobacco Zone,2018,Google,3,5.0,0,0.0
B010,Tobacco Zone,2018,Yelp,3,5.0,0,0.0
B010,Tobacco Zone,2019,Google,6,4.833333333,0,0.0
B010,Tobacco Zone,2019,Yelp,1,5.0,0,0.0
B010,Tobacco Zone,2020,Google,4,5.0,0,0.0
B010,Tobacco Zone,2020,Yelp,3,3.666666667,1,0.333333333
B010,Tobacco Zone,2021,Yelp,11,4.636363636,1,0.090909091
B010,Tobacco Zone,2022,Google,3,3.666666667,1,0.333333333
B010,Tobacco Zone,2022,Yelp,4,4.0,1,0.25
B010,Tobacco Zone,2023,Google,8,4.75,1,0.125
B010,Tobacco Zone,2023,Yelp,5,3.4,2,0.4
B010,Tobacco Zone,2024,Google,2,3.0,1,0.5
B010,Tobacco Zone,2025,Google,34,4.441176471,4,0.117647059
B010,Tobacco Zone,2025,Yelp,6,4.0,2,0.333333333
B011,Espresso Sanctuary,2024,Google,19,4.578947368,2,0.105263158
B011,Espresso Sanctuary,2024,Yelp,33,4.575757576,2,0.060606061
B011,Espresso Sanctuary,2025,Google,34,4.588235294,4,0.117647059
B011,Espresso Sanctuary,2025,Yelp,24,3.791666667,9,0.375
B012,Quick Cash Center,2014,Yelp,1,4.0,0,0.0
B012,Quick Cash Center,2015,Google,1,5.0,0,0.0
B012,Quick Cash Center,2017,Yelp,1,1.0,1,1.0
B012,Quick Cash Center,2018,Yelp,3,3.666666667,1,0.333333333
B012,Quick Cash Center,2019,Google,43,5.0,0,0.0
B012,Quick Cash Center,2019,Yelp,1,5.0,0,0.0
B012,Quick Cash Center,2020,Google,9,4.555555556,1,0.111111111
B012,Quick Cash Center,2021,Google,2,5.0,0,0.0
B012,Quick Cash Center,2023,Google,1,1.0,1,1.0
B012,Quick Cash Center,2024,Google,4,4.0,1,0.25
B012,Quick Cash Center,2025,Google,38,4.5,5,0.131578947
B012,Quick Cash Center,2025,Yelp,1,1.0,1,1.0
B013,Everything’s A Dollar,2010,Yelp,1,4.0,0,0.0
B013,Everything’s A Dollar,2013,Yelp,1,3.0,1,1.0
B013,Everything’s A Dollar,2015,Yelp,2,2.0,2,1.0
B013,Everything’s A Dollar,2017,Google,13,4.076923077,5,0.384615385
B013,Everything’s A Dollar,2017,Yelp,5,2.2,4,0.8
B013,Everything’s A Dollar,2018,Google,35,3.771428571,12,0.342857143
B013,Everything’s A Dollar,2018,Yelp,3,2.666666667,2,0.666666667
B013,Everything’s A Dollar,2019,Google,17,3.764705882,7,0.411764706
B013,Everything’s A Dollar,2019,Yelp,2,4.5,0,0.0
B013,Everything’s A Dollar,2020,Google,5,3.2,2,0.4
B013,Everything’s A Dollar,2020,Yelp,2,1.5,2,1.0
B013,Everything’s A Dollar,2021,Google,19,4.157894737,3,0.157894737
B013,Everything’s A Dollar,2021,Yelp,1,5.0,0,0.0
B013,Everything’s A Dollar,2022,Google,10,3.6,3,0.3
B013,Everything’s A Dollar,2022,Yelp,1,5.0,0,0.0
B013,Everything’s A Dollar,2023,Google,13,4.076923077,3,0.230769231
B013,Everything’s A Dollar,2023,Yelp,1,3.0,1,1.0
B013,Everything’s A Dollar,2024,Google,6,4.0,1,0.166666667
B013,Everything’s A Dollar,2024,Yelp,3,3.333333333,1,0.333333333
B013,Everything’s A Dollar,2025,Google,138,4.188405797,30,0.217391304
B013,Everything’s A Dollar,2025,Yelp,1,1.0,1,1.0
B014,Donut House,2014,Yelp,165,3.327272727,84,0.509090909
B014,Donut House,2015,Google,22,4.545454545,3,0.136363636
B014,Donut House,2015,Yelp,98,3.693877551,36,0.367346939
B014,Donut House,2016,Google,19,4.052631579,3,0.157894737
B014,Donut House,2016,Yelp,38,2.894736842,23,0.605263158
B014,Donut House,2017,Google,34,4.0,11,0.323529412
B014,Donut House,2017,Yelp,23,2.956521739,13,0.565217391
B014,Donut House,2018,Google,43,3.744186047,17,0.395348837
B014,Donut House,2018,Yelp,10,3.4,6,0.6
B014,Donut House,2019,Google,41,4.43902439,6,0.146341463
B014,Donut House,2019,Yelp,17,3.294117647,8,0.470588235
B014,Donut House,2020,Google,26,4.192307692,5,0.192307692
B014,Donut House,2020,Yelp,15,2.066666667,12,0.8
B014,Donut House,2021,Google,15,3.733333333,5,0.333333333
B014,Donut House,2021,Yelp,7,2.714285714,5,0.714285714
B014,Donut House,2022,Google,12,3.833333333,4,0.333333333
B014,Donut House,2022,Yelp,10,2.3,8,0.8
B014,Donut House,2023,Google,11,3.818181818,3,0.272727273
B014,Donut House,2023,Yelp,19,2.894736842,11,0.578947368
B014,Donut House,2024,Google,43,3.139534884,21,0.488372093
B014,Donut House,2024,Yelp,7,4.0,2,0.285714286
B014,Donut House,2025,Google,260,4.103846154,61,0.234615385
B014,Donut House,2025,Yelp,144,2.868055556,88,0.611111111
B015,Primary Colors Paint,2012,Yelp,1,5.0,0,0.0
B015,Primary Colors Paint,2013,Yelp,4,3.25,2,0.5
B015,Primary Colors Paint,2014,Yelp,6,4.666666667,0,0.0
B015,Primary Colors Paint,2015,Yelp,5,3.6,2,0.4
B015,Primary Colors Paint,2016,Yelp,1,4.0,0,0.0
B015,Primary Colors Paint,2017,Yelp,2,4.5,0,0.0
B015,Primary Colors Paint,2018,Google,2,4.5,0,0.0
B015,Primary Colors Paint,2018,Yelp,2,5.0,0,0.0
B015,Primary Colors Paint,2019,Google,11,3.545454545,5,0.454545455
B015,Primary Colors Paint,2019,Yelp,6,2.666666667,4,0.666666667
B015,Primary Colors Paint,2020,Google,8,5.0,0,0.0
B015,Primary Colors Paint,2020,Yelp,6,5.0,0,0.0
B015,Primary Colors Paint,2021,Google,8,3.875,2,0.25
B015,Primary Colors Paint,2021,Yelp,1,5.0,0,0.0
B015,Primary Colors Paint,2022,Google,4,3.0,2,0.5
B015,Primary Colors Paint,2022,Yelp,2,3.5,1,0.5
B015,Primary Colors Paint,2023,Google,2,5.0,0,0.0
B015,Primary Colors Paint,2024,Google,8,4.0,2,0.25
B015,Primary Colors Paint,2024,Yelp,1,5.0,0,0.0
B015,Primary Colors Paint,2025,Google,82,4.280487805,16,0.195121951
B015,Primary Colors Paint,2025,Yelp,7,3.0,5,0.714285714
B016,The Adobe Grill,2005,Yelp,1,3.0,1,1.0
B016,The Adobe Grill,2006,Yelp,13,3.461538462,6,0.461538462
B016,The Adobe Grill,2007,Yelp,29,3.517241379,13,0.448275862
B016,The Adobe Grill,2008,Yelp,52,3.442307692,27,0.519230769
B016,The Adobe Grill,2009,Yelp,54,3.425925926,26,0.481481481
B016,The Adobe Grill,2010,Yelp,78,3.666666667,30,0.384615385
B016,The Adobe Grill,2011,Google,5,3.8,1,0.2
B016,The Adobe Grill,2011,Yelp,79,3.265822785,45,0.569620253
B016,The Adobe Grill,2012,Google,2,4.0,0,0.0
B016,The Adobe Grill,2012,Yelp,58,3.24137931,36,0.620689655
B016,The Adobe Grill,2013,Google,7,4.0,2,0.285714286
B016,The Adobe Grill,2013,Yelp,88,3.363636364,44,0.5
B016,The Adobe Grill,2014,Google,5,4.2,1,0.2
B016,The Adobe Grill,2014,Yelp,79,3.506329114,36,0.455696203
B016,The Adobe Grill,2015,Google,6,4.333333333,0,0.0
B016,The Adobe Grill,2015,Yelp,72,3.25,36,0.5
B016,The Adobe Grill,2016,Google,19,3.631578947,7,0.368421053
B016,The Adobe Grill,2016,Yelp,90,3.744444444,33,0.366666667
B016,The Adobe Grill,2017,Google,58,4.172413793,10,0.172413793
B016,The Adobe Grill,2017,Yelp,69,3.811594203,21,0.304347826
B016,The Adobe Grill,2018,Google,134,4.134328358,34,0.253731343
B016,The Adobe Grill,2018,Yelp,72,3.416666667,33,0.458333333
B016,The Adobe Grill,2019,Google,152,4.171052632,32,0.210526316
B016,The Adobe Grill,2019,Yelp,50,3.72,17,0.34
B016,The Adobe Grill,2020,Google,130,4.276923077,25,0.192307692
B016,The Adobe Grill,2020,Yelp,32,3.59375,14,0.4375
B016,The Adobe Grill,2021,Google,49,4.265306122,11,0.224489796
B016,The Adobe Grill,2021,Yelp,35,3.2,17,0.485714286
B016,The Adobe Grill,2022,Google,89,4.224719101,19,0.213483146
B016,The Adobe Grill,2022,Yelp,38,3.868421053,11,0.289473684
B016,The Adobe Grill,2023,Google,82,4.353658537,13,0.158536585
B016,The Adobe Grill,2023,Yelp,44,3.840909091,12,0.272727273
B016,The Adobe Grill,2024,Google,178,4.640449438,14,0.078651685
